AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU ILLIA;ASCENDENTE;800.0;BUENO;SECA;0;1;COLISION CON OBSTACULO FIJO;1;0;0;0;2022;6;15;5;Miércoles
AU ILLIA;ASCENDENTE;800.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;6;15;6;Miércoles
AU PERITO MORENO;DESCENDENTE;5500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;15;18;Miércoles
AU PERITO MORENO;ASCENDENTE;1800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;16;2;Jueves
AV. LUGONES;DESCENDENTE;4000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;6;16;10;Jueves
AU ILLIA;DESCENDENTE;3800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1;2022;6;16;12;Jueves
AU 25 DE MAYO;DESCENDENTE;5000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;6;16;13;Jueves
AU ILLIA;DESCENDENTE;3500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;6;17;15;Viernes
AU ILLIA;DESCENDENTE;3300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2022;6;17;19;Viernes
AU 25 DE MAYO;DESCENDENTE;6100.0;BUENO;SECA;2;0;OBSTACULO NO FIJO;0;2;0;0;2022;6;17;19;Viernes
AV. CANTILO;ASCENDENTE;10100.0;BUENO;SECA;2;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;18;22;Sábado
