AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU 25 DE MAYO;DESCENDENTE;8500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;6;20;Viernes
AV. LUGONES;DESCENDENTE;4400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;1;6;21;Viernes
AU DELLEPIANE;ASCENDENTE;1800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;1;6;21;Viernes
AU DELLEPIANE;DESCENDENTE;2300.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;8;16;Domingo
AU 25 DE MAYO;ASCENDENTE;8700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;1;9;1;Lunes
AU 25 DE MAYO;ASCENDENTE;5000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;1;0;2023;1;9;5;Lunes
AU 25 DE MAYO;ASCENDENTE;8200.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;1;9;14;Lunes
AU DELLEPIANE;DESCENDENTE;1900.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;1;9;18;Lunes
AU FRONDIZI;ASCENDENTE;2200.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;9;18;Lunes
AU CAMPORA;ASCENDENTE;3000.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;10;13;Martes
AU 25 DE MAYO;DESCENDENTE;9000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;10;17;Martes
AU DELLEPIANE;ASCENDENTE;1500.0;BUENO;SECA;0;1;COLISION CON DOS O MAS VEHICULOS;1;1;0;1;2023;1;11;11;Miércoles
AU 25 DE MAYO;ASCENDENTE;2500.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;1;12;10;Jueves
AU 25 DE MAYO;ASCENDENTE;8800.0;BUENO;SECA;5;0;COLISION CON DOS O MAS VEHICULOS;0;5;0;2;2023;1;12;18;Jueves
AU 25 DE MAYO;ASCENDENTE;4200.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;13;2;Viernes
AU 25 DE MAYO;DESCENDENTE;1100.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;1;0;2023;1;13;6;Viernes
AU PERITO MORENO;DESCENDENTE;3700.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;0;1;0;0;2023;1;13;20;Viernes
AU 25 DE MAYO;DESCENDENTE;2300.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;13;21;Viernes
AU PERITO MORENO;DESCENDENTE;900.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;14;3;Sábado
AU PERITO MORENO;DESCENDENTE;2600.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;14;14;Sábado
TRANSICION RAMAL 3;RAMAL DE ENLACE;4254.418498168498;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;14;15;Sábado
AU 25 DE MAYO;DESCENDENTE;4800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;15;4;Domingo
AU PERITO MORENO;DESCENDENTE;800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;15;11;Domingo
AU DELLEPIANE;ASCENDENTE;800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;15;15;Domingo
AU PERITO MORENO;DESCENDENTE;2500.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;16;4;Lunes
AU PERITO MORENO;DESCENDENTE;1000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;16;13;Lunes
AU ILLIA;ASCENDENTE;4800.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;1;16;20;Lunes
AU PERITO MORENO;ASCENDENTE;5400.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2023;1;17;5;Martes
AU PERITO MORENO;DESCENDENTE;3500.0;BUENO;SECA;4;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;17;12;Martes
TRANSICION RAMAL 2;RAMAL DE ENLACE;4254.418498168498;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2023;1;18;8;Miércoles
AU 25 DE MAYO;ASCENDENTE;1900.0;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0;2023;1;18;9;Miércoles
AU 25 DE MAYO;DESCENDENTE;4700.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2023;1;19;16;Jueves
AU FRONDIZI;ASCENDENTE;2000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;20;1;Viernes
AU 25 DE MAYO;DESCENDENTE;0.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;1;2023;1;20;9;Viernes
AU ILLIA;ASCENDENTE;6300.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;1;2023;1;20;11;Viernes
AU PERITO MORENO;DESCENDENTE;5000.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;1;20;14;Viernes
AU 25 DE MAYO;DESCENDENTE;2800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;20;15;Viernes
AU ILLIA;DESCENDENTE;2500.0;BUENO;MOJADA/HUMEDA;0;1;COLISION CON OBSTACULO FIJO;0;0;0;1;2023;1;21;0;Sábado
AU CAMPORA;ASCENDENTE;1500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;21;7;Sábado
AU 25 DE MAYO;ASCENDENTE;1800.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;1;23;5;Lunes
DIST. DELLEPIANE;RAMAL 11;4254.418498168498;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;25;2;Miércoles
AV. CANTILO;ASCENDENTE;7400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2023;1;25;17;Miércoles
AV. LUGONES;DESCENDENTE;4500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;25;19;Miércoles
AU DELLEPIANE;ASCENDENTE;300.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;1;26;8;Jueves
AU PERITO MORENO;DESCENDENTE;2600.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;1;27;1;Viernes
AU 25 DE MAYO;DESCENDENTE;5500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;27;4;Viernes
AU DELLEPIANE;DESCENDENTE;2200.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0;2023;1;27;17;Viernes
AU 25 DE MAYO;DESCENDENTE;2900.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;1;29;7;Domingo
AV. LUGONES;DESCENDENTE;7500.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;1;29;15;Domingo
AU 25 DE MAYO;DESCENDENTE;4400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;2;2023;1;30;15;Lunes
AV. LUGONES;DESCENDENTE;6000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;1;30;17;Lunes
AU ILLIA;ASCENDENTE;6700.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;31;9;Martes
AU 25 DE MAYO;DESCENDENTE;7000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;1;31;11;Martes
AU 25 DE MAYO;DESCENDENTE;400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0;2023;1;31;13;Martes
AU FRONDIZI;DESCENDENTE;0.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;1;31;19;Martes
AU FRONDIZI;ASCENDENTE;3100.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;2;1;9;Miércoles
AU FRONDIZI;DESCENDENTE;2000.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;2;1;10;Miércoles
AV. LUGONES;DESCENDENTE;9900.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;2;1;10;Miércoles
AU 25 DE MAYO;DESCENDENTE;2700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;2;1;12;Miércoles
AU 25 DE MAYO;DESCENDENTE;2100.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;2;1;16;Miércoles
AU 25 DE MAYO;ASCENDENTE;5700.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;1;16;Miércoles
AU 25 DE MAYO;ASCENDENTE;9000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;2;2;11;Jueves
AU ILLIA;DESCENDENTE;1600.0;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;2;19;Jueves
AU DELLEPIANE;ASCENDENTE;4500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;1;2023;2;2;20;Jueves
AU CAMPORA;DESCENDENTE;1400.0;LLUVIOSO;MOJADA/HUMEDA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;2;2023;2;3;6;Viernes
AU 25 DE MAYO;ASCENDENTE;2400.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;3;7;Viernes
AV. LUGONES;DESCENDENTE;10100.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;3;9;Viernes
AU FRONDIZI;DESCENDENTE;2500.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;2;4;8;Sábado
AU FRONDIZI;ASCENDENTE;1000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0;2023;2;5;0;Domingo
AU 25 DE MAYO;DESCENDENTE;1000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;2;6;10;Lunes
AU 25 DE MAYO;DESCENDENTE;4500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2023;2;6;13;Lunes
AU PERITO MORENO;ASCENDENTE;5400.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1;2023;2;6;20;Lunes
AU DELLEPIANE;ASCENDENTE;800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;1;0;2023;2;6;21;Lunes
AU ILLIA;DESCENDENTE;0.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;2;7;0;Martes
AU DELLEPIANE;DESCENDENTE;4200.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;2;8;8;Miércoles
AU 25 DE MAYO;ASCENDENTE;1100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;2;0;0;0;2023;2;8;11;Miércoles
AU 25 DE MAYO;DESCENDENTE;0.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;9;11;Jueves
AU PERITO MORENO;ASCENDENTE;3000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;1;2023;2;9;12;Jueves
AU 25 DE MAYO;DESCENDENTE;5500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;2;9;17;Jueves
AU DELLEPIANE;DESCENDENTE;2300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;2;0;0;0;2023;2;9;18;Jueves
AU 25 DE MAYO;ASCENDENTE;6000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;10;9;Viernes
AV. LUGONES;DESCENDENTE;5600.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;10;13;Viernes
AU DELLEPIANE;DESCENDENTE;3000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;2;10;15;Viernes
AU DELLEPIANE;ASCENDENTE;4000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;10;17;Viernes
AU DELLEPIANE;DESCENDENTE;4400.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0;2023;2;10;21;Viernes
AU 25 DE MAYO;ASCENDENTE;1700.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2023;2;11;0;Sábado
AU DELLEPIANE;DESCENDENTE;4600.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;2;11;10;Sábado
AU 25 DE MAYO;DESCENDENTE;8000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;2;11;16;Sábado
AV. LUGONES;DESCENDENTE;10200.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;2;12;2;Domingo
PASEO DEL BAJO;DESCENDENTE;6800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2023;2;12;14;Domingo
AU FRONDIZI;DESCENDENTE;3000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;12;20;Domingo
AU ILLIA;ASCENDENTE;2400.0;BUENO;SECA;1;0;OBSTACULO NO FIJO;0;1;0;0;2023;2;13;21;Lunes
AU FRONDIZI;DESCENDENTE;3000.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;2;15;13;Miércoles
AU 25 DE MAYO;DESCENDENTE;8400.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;15;17;Miércoles
AV. LUGONES;DESCENDENTE;6300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2023;2;15;19;Miércoles
AU 25 DE MAYO;ASCENDENTE;0.0;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;2;16;8;Jueves
AU 25 DE MAYO;ASCENDENTE;1800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;2;0;0;2023;2;17;9;Viernes
AU 25 DE MAYO;DESCENDENTE;2400.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;2;17;13;Viernes
AU 25 DE MAYO;DESCENDENTE;6000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;2;17;15;Viernes
AU DELLEPIANE;DESCENDENTE;3500.0;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;2;1;0;2023;2;18;6;Sábado
AU FRONDIZI;DESCENDENTE;1900.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;18;20;Sábado
AV. LUGONES;DESCENDENTE;4500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;2;19;16;Domingo
AU 25 DE MAYO;ASCENDENTE;4500.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;2;0;0;0;2023;2;22;9;Miércoles
AU 25 DE MAYO;ASCENDENTE;800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;2;22;9;Miércoles
AU 25 DE MAYO;ASCENDENTE;6900.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;2;22;10;Miércoles
AU 25 DE MAYO;ASCENDENTE;1800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;23;6;Jueves
AU PERITO MORENO;ASCENDENTE;5400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;2;23;17;Jueves
AU PERITO MORENO;DESCENDENTE;4700.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;2;23;20;Jueves
TRANSICION RAMAL 2;RAMAL DE ENLACE;4254.418498168498;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2023;2;24;8;Viernes
AU 25 DE MAYO;DESCENDENTE;8000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0;2023;2;25;19;Sábado
AU 25 DE MAYO;DESCENDENTE;4400.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;2;26;15;Domingo
AU FRONDIZI;ASCENDENTE;1900.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;2;27;7;Lunes
PASEO DEL BAJO;ASCENDENTE;1250.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;0;2;2023;2;28;14;Martes
AU 25 DE MAYO;DESCENDENTE;4500.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2023;2;28;16;Martes
AU 25 DE MAYO;DESCENDENTE;1400.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;1;4;Miércoles
AV. LUGONES;DESCENDENTE;9800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;1;12;Miércoles
AU DELLEPIANE;DESCENDENTE;3500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;3;1;18;Miércoles
AU PERITO MORENO;ASCENDENTE;5300.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;3;2;14;Jueves
AU 25 DE MAYO;DESCENDENTE;6000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;2;1;0;0;2023;3;2;16;Jueves
AU 25 DE MAYO;DESCENDENTE;2100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;3;2;17;Jueves
AU DELLEPIANE;ASCENDENTE;600.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;2;19;Jueves
AU PERITO MORENO;DESCENDENTE;3500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;3;2;20;Jueves
AU 25 DE MAYO;DESCENDENTE;3500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;4;0;0;2023;3;2;21;Jueves
AU 25 DE MAYO;ASCENDENTE;2300.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;3;7;Viernes
AV. LUGONES;DESCENDENTE;6000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0;2023;3;3;9;Viernes
AU 25 DE MAYO;ASCENDENTE;7000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;2;0;0;2023;3;3;9;Viernes
AV. CANTILO;ASCENDENTE;8000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;3;12;Viernes
AU 25 DE MAYO;DESCENDENTE;2200.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2023;3;3;13;Viernes
AU 25 DE MAYO;ASCENDENTE;9000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2023;3;3;17;Viernes
AU DELLEPIANE;DESCENDENTE;3000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2023;3;4;12;Sábado
AU ILLIA;DESCENDENTE;3000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;3;4;14;Sábado
AU DELLEPIANE;ASCENDENTE;3800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;3;4;20;Sábado
AU PERITO MORENO;DESCENDENTE;2900.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;2;0;0;2023;3;4;22;Sábado
AU ILLIA;DESCENDENTE;2400.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;3;4;22;Sábado
AU PERITO MORENO;ASCENDENTE;1100.0;BUENO;SECA;6;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;5;19;Domingo
AU DELLEPIANE;DESCENDENTE;2800.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;6;2;Lunes
TRANSICION RAMAL 2;RAMAL DE ENLACE;4254.418498168498;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2023;3;6;8;Lunes
AV. LUGONES;DESCENDENTE;5200.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;6;13;Lunes
AU 25 DE MAYO;DESCENDENTE;2700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;6;15;Lunes
AU DELLEPIANE;ASCENDENTE;1900.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;7;8;Martes
AU PERITO MORENO;ASCENDENTE;5400.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0;2023;3;7;20;Martes
AU DELLEPIANE;ASCENDENTE;500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;3;8;7;Miércoles
AU ILLIA;ASCENDENTE;3000.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;8;13;Miércoles
AV. CANTILO;ASCENDENTE;9300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;8;14;Miércoles
AU 25 DE MAYO;DESCENDENTE;4500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;2;0;0;1;2023;3;8;17;Miércoles
AU 25 DE MAYO;DESCENDENTE;2000.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2023;3;9;3;Jueves
AU 25 DE MAYO;ASCENDENTE;9000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;3;9;7;Jueves
AU 25 DE MAYO;DESCENDENTE;2500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;3;9;8;Jueves
AU 25 DE MAYO;ASCENDENTE;9300.0;BUENO;SECA;4;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;1;2023;3;9;17;Jueves
AU 25 DE MAYO;ASCENDENTE;4500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2023;3;10;7;Viernes
AU 25 DE MAYO;DESCENDENTE;8700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;3;10;11;Viernes
AU FRONDIZI;ASCENDENTE;1000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;10;11;Viernes
DIST. 9 DE JULIO;RAMAL 2;4254.418498168498;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;3;10;12;Viernes
AU ILLIA;ASCENDENTE;2000.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;3;12;6;Domingo
AU DELLEPIANE;ASCENDENTE;600.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;12;8;Domingo
AU 25 DE MAYO;DESCENDENTE;5600.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;3;13;2;Lunes
PASEO DEL BAJO;ASCENDENTE;3700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;3;13;8;Lunes
AU FRONDIZI;DESCENDENTE;1900.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;3;13;13;Lunes
AU PERITO MORENO;DESCENDENTE;1900.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0;2023;3;14;8;Martes
AU FRONDIZI;ASCENDENTE;1000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2023;3;14;9;Martes
AU 25 DE MAYO;ASCENDENTE;900.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2023;3;14;14;Martes
AU CAMPORA;DESCENDENTE;1500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;3;14;14;Martes
AU ILLIA;DESCENDENTE;1300.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2023;3;14;21;Martes
AU DELLEPIANE;DESCENDENTE;4700.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0;2023;3;15;6;Miércoles
AU ILLIA;ASCENDENTE;6400.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;15;15;Miércoles
AU ILLIA;DESCENDENTE;900.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2023;3;16;2;Jueves
AU DELLEPIANE;ASCENDENTE;3100.0;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;16;3;Jueves
AU ILLIA;ASCENDENTE;3800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;3;16;18;Jueves
AU 25 DE MAYO;DESCENDENTE;5500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2023;3;16;18;Jueves
AU 25 DE MAYO;ASCENDENTE;600.0;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2023;3;16;22;Jueves
AU 25 DE MAYO;ASCENDENTE;0.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2023;3;17;1;Viernes
